filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_Apop_tota, push_total, sgrow_total, sshrink_total
linear_regression_additional/trace_car_only/vpython_car_077.txt,077,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_078.txt,078,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_079.txt,079,2306595,4200158,124,157711,28898,56372,7,1334,189,340,0,18,2335682,4256870,131,159063
linear_regression_additional/trace_car_only/vpython_car_080.txt,080,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_081.txt,081,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_082.txt,082,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_083.txt,083,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_084.txt,084,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_085.txt,085,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_086.txt,086,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_087.txt,087,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_088.txt,088,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_089.txt,089,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_090.txt,090,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_car_091.txt,091,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_092.txt,092,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_093.txt,093,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_094.txt,094,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_095.txt,095,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_car_096.txt,096,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_car_097.txt,097,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_098.txt,098,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_car_099.txt,099,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_100.txt,100,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063


filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_Apop_tota, push_total, sgrow_total, sshrink_total
linear_regression_additional/trace_diabetes_only/vpython_diabetes_001.txt,001,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_002.txt,002,2535656,4565448,124,175363,26614,61554,0,1341,189,340,0,18,2562459,4627342,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_003.txt,003,2535683,4565493,124,175363,26614,61554,0,1341,189,340,0,18,2562486,4627387,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_004.txt,004,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_005.txt,005,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_006.txt,006,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
