timestamp,%cpu_user,%cpu_system
15:30:59,98.0,0.8
15:30:59,0,0
15:31:00,0,0
15:31:00,0,0
15:31:01,0,0
15:31:01,13.5,0.1
15:31:02,260.0,0.3
15:31:02,96.1,0.5
15:31:03,237.3,0.7
15:31:03,98.0,0.8
15:31:04,100.0,0.9
15:31:04,0,0
15:31:05,0,0
15:31:05,0,0
15:31:06,0,0
15:31:06,69.2,0.2
15:31:07,237.3,0.4
15:31:07,245.1,0.6
15:31:08,109.8,0.7
15:31:08,96.1,0.8
15:31:09,0,0
15:31:09,0,0
15:31:10,0,0
15:31:10,0,0
15:31:11,23.5,0.1
15:31:11,256.9,0.3
15:31:12,100.0,0.5
15:31:12,262.0,0.7
15:31:13,98.0,0.8
15:31:13,100.0,1.0
15:31:14,0,0
15:31:14,0,0
15:31:15,0,0
15:31:15,0,0
15:31:16,213.5,0.2
15:31:16,127.5,0.4
15:31:17,249.0,0.6
15:31:17,98.0,0.8
15:31:18,96.1,0.9
15:31:18,0,0
15:31:19,0,0
15:31:20,0,0
15:31:20,0,0
15:31:21,38.5,0.1
15:31:21,241.2,0.3
15:31:22,100.0,0.4
15:31:22,249.0,0.7
15:31:23,98.0,0.8
15:31:23,98.0,0.9
15:31:24,0,0
15:31:24,0,0
15:31:25,0,0
15:31:25,0,0
15:31:26,92.3,0.2
15:31:26,221.2,0.4
15:31:27,243.1,0.6
15:31:27,100.0,0.8
15:31:28,96.1,0.8
15:31:28,0,0
15:31:29,0,0
15:31:29,0,0
15:31:30,0,0
15:31:30,30.8,0.1
15:31:31,258.8,0.3
15:31:31,100.0,0.5
15:31:32,260.0,0.7
15:31:32,100.0,0.8
15:31:33,98.0,0.9
15:31:33,0,0
15:31:34,0,0
15:31:34,0,0
15:31:35,0,0
15:31:35,188.5,0.2
15:31:36,152.9,0.4
15:31:36,254.9,0.7
15:31:37,98.0,0.8
15:31:37,98.0,0.9
15:31:38,0,0
15:31:38,0,0
15:31:39,0,0
15:31:40,0,0
15:31:40,150.9,0.2
15:31:41,166.7,0.4
15:31:41,262.0,0.6
15:31:42,98.0,0.8
15:31:42,96.1,0.8
15:31:43,0,0
15:31:43,0,0
15:31:44,0,0
15:31:44,0,0
15:31:45,30.8,0.1
15:31:45,260.0,0.3
15:31:46,151.0,0.5
15:31:46,203.9,0.7
15:31:47,100.0,0.8
15:31:47,0,0
15:31:48,0,0
15:31:48,0,0
15:31:49,0,0
15:31:49,32.7,0.1
15:31:50,262.0,0.3
15:31:50,98.0,0.5
15:31:51,246.2,0.7
15:31:51,100.0,0.8
15:31:52,96.1,0.9
15:31:52,0,0
15:31:53,0,0
15:31:53,0,0
15:31:54,0,0
15:31:54,244.2,0.2
15:31:55,100.0,0.5
15:31:55,258.8,0.7
15:31:56,98.0,0.8
15:31:56,100.0,0.9
15:31:57,0,0
15:31:57,0,0
15:31:58,0,0
15:31:58,0,0
15:31:59,201.9,0.2
15:31:59,129.4,0.4
15:32:00,256.9,0.7
15:32:00,100.0,0.8
15:32:01,98.0,0.9
15:32:01,0,0
15:32:02,0,0
15:32:03,0,0
15:32:03,0,0
15:32:04,186.5,0.2
15:32:04,143.1,0.4
15:32:05,260.0,0.7
15:32:05,100.0,0.8
15:32:06,98.0,0.9
15:32:06,0,0
15:32:07,0,0
15:32:07,0,0
15:32:08,0,0
15:32:08,39.2,0.1
15:32:09,237.3,0.3
15:32:09,194.0,0.5
15:32:10,151.0,0.8
15:32:10,98.0,0.8
15:32:11,0,0
15:32:11,0,0
15:32:12,0,0
15:32:12,0,0
15:32:13,28.8,0.1
15:32:13,258.8,0.3
15:32:14,178.4,0.5
15:32:14,174.5,0.8
15:32:15,100.0,0.8
15:32:15,98.0,1.0
15:32:16,0,0
15:32:16,0,0
15:32:17,0,0
15:32:17,7.7,0.1
15:32:18,260.0,0.3
15:32:18,98.0,0.4
15:32:19,256.9,0.7
15:32:19,98.0,0.8
15:32:20,98.0,0.9
15:32:20,0,0
15:32:21,0,0
15:32:21,0,0
15:32:22,0,0
15:32:22,42.3,0.1
15:32:23,235.3,0.3
15:32:23,100.0,0.5
15:32:24,260.8,0.7
15:32:25,98.0,0.8
15:32:25,102.0,0.8
15:32:26,96.1,1.1
15:32:26,0,0
15:32:27,0,0
15:32:27,0,0
15:32:28,0,0
15:32:28,136.5,0.2
15:32:29,188.2,0.4
15:32:29,260.0,0.6
15:32:30,98.0,0.7
15:32:30,98.0,0.8
15:32:31,98.0,0.9
15:32:31,0,0
15:32:32,0,0
15:32:32,0,0
15:32:33,0,0
15:32:33,39.2,0.1
15:32:34,264.0,0.3
15:32:34,96.1,0.5
15:32:35,256.9,0.7
15:32:35,100.0,0.8
15:32:36,98.0,0.9
15:32:36,100.0,1.0
15:32:37,0,0
15:32:37,0,0
15:32:38,0,0
15:32:38,5.8,0.1
15:32:39,229.4,0.2
15:32:39,100.0,0.4
15:32:40,262.7,0.5
15:32:40,96.1,0.7
15:32:41,96.1,0.8
15:32:41,98.0,0.9
15:32:42,0,0
15:32:42,0,0
15:32:43,0,0
15:32:43,0,0
15:32:44,11.5,0.1
15:32:44,264.0,0.3
15:32:45,96.1,0.5
15:32:45,260.8,0.7
15:32:46,100.0,0.8
15:32:46,98.0,0.9
15:32:47,98.0,1.4
15:32:47,0,0
15:32:48,0,0
15:32:48,0,0
15:32:49,0,0
15:32:50,244.2,0.2
15:32:50,100.0,0.4
15:32:51,258.8,0.7
15:32:51,98.0,0.8
15:32:52,98.0,0.8
15:32:52,100.0,1.1
15:32:53,100.0,1.1
15:32:53,0,0
15:32:54,0,0
15:32:54,0,0
15:32:55,1.9,0.1
15:32:55,254.9,0.2
15:32:56,100.0,0.5
15:32:56,235.3,0.7
15:32:57,102.0,0.8
15:32:57,98.0,0.8
15:32:58,98.0,1.1
15:32:58,98.0,1.8
15:32:59,0,0
15:32:59,0,0
15:33:00,0,0
15:33:00,0,0
15:33:01,52.9,0.2
15:33:01,241.2,0.4
15:33:02,254.9,0.6
